case,w0,w_ode,wy,MSE_0,MSE_g,MSE_y,test_meas_RMSE,test_hidden_RMSE
1,1.0,1.0,1.0,5.710e-04,8.493e-04,4.523e-03,0.0509,0.0411
2,0.5,1.5,1.0,7.747e-05,3.453e-04,3.266e-04,0.0239,0.0275
3,0.5,0.5,1.0,1.204e-04,1.001e-03,1.733e-03,0.0416,0.0368
4,1.0,2.0,1.0,8.355e-05,3.059e-04,3.019e-04,0.0239,0.0272
5,2.0,1.0,1.0,1.605e-04,1.140e-03,2.748e-03,0.0547,0.0455
6,2.0,1.0,0.5,4.831e-05,6.017e-04,7.079e-04,0.0337,0.0354
7,2.0,1.5,1.5,1.950e-04,8.092e-04,1.280e-03,0.0279,0.0356
