parameter,metric,-20%,-10%,nominal,+10%,+20%
mass,measured RMSE,0.0663,0.0396,0.0194,0.0419,0.0684
mass,hidden RMSE,0.0709,0.0366,0.0157,0.0338,0.0565
inertia,measured RMSE,0.0223,0.0203,0.0194,0.0207,0.0230
inertia,hidden RMSE,0.0261,0.0194,0.0157,0.0200,0.0280
arm,measured RMSE,0.0244,0.0210,0.0194,0.0201,0.0215
arm,hidden RMSE,0.0325,0.0208,0.0157,0.0188,0.0237
combined worst,measured RMSE,,,0.0194,,0.0684
combined worst,hidden RMSE,,,0.0157,,0.0565
