layers,neurons,params,L_norm_mean,n_stable_of_10,meas_rmse_int,hidden_rmse_int,avg_diverge_t_s,meas_rmse_direct,hidden_rmse_direct,train_time_s
4,20,3304,41.621,0,nan,nan,5.73,0.0755,0.3205,1371
4,60,16944,21.989,0,nan,nan,11.44,0.0333,0.1765,1659
4,100,40184,16.195,0,nan,nan,13.81,0.0167,0.0492,2314
4,128,62164,14.588,0,nan,nan,18.48,0.0246,0.0303,2478
9,20,5404,44.034,0,nan,nan,6.56,0.0859,0.2434,2127
9,60,35244,19.036,0,nan,nan,8.89,0.0399,0.1136,2953
9,100,90684,15.815,0,nan,nan,11.59,0.0433,0.0656,4539
9,128,144724,14.773,0,nan,nan,14.52,0.0388,0.0450,13162
12,20,6664,31.700,0,nan,nan,9.33,0.0777,0.2260,6485
