case,sigma_pos_m,sigma_att_rad,test_meas_RMSE,test_hidden_RMSE,train_time_s
clean,0.0,0.0,0.0442,0.0559,2145
moderate,0.05,0.01,0.0775,0.0699,2129
strong,0.1,0.02,0.0850,0.0720,2138
