layers,neurons,params,rmse_meas,rmse_hidden,train_time_s
4,20,1792,0.0284,0.0555,2690
4,60,12552,0.0146,0.0196,4528
4,100,32912,0.0203,0.0172,6126
4,128,52876,0.0388,0.0236,4458
9,20,3892,0.0681,0.0723,3825
9,60,30852,0.0180,0.0216,6028
9,100,83412,0.0163,0.0155,9036
9,128,135436,0.0242,0.0203,13408
12,20,5152,0.0574,0.0685,4899
12,60,41832,0.0343,0.0285,8550
12,100,113712,0.0217,0.0204,13872
12,128,184972,0.0305,0.0293,15107
