layers,neurons,params,L_norm_mean,n_stable_of_10,meas_rmse_int,hidden_rmse_int,avg_diverge_t_s,meas_rmse_direct,hidden_rmse_direct,train_time_s
12,60,46224,18.698,0,nan,nan,10.86,0.0457,0.1237,3762
12,128,194260,16.479,0,nan,nan,15.30,0.0749,0.1378,6532
