time_s,max_real_part,min_real_part,max_abs_imag,verdict
0.0,1.1036236031717448,-0.30203629262288895,4.033004409781471,UNSTABLE
0.25,0.8192895150104215,-0.1445228628101357,3.7012812582701025,UNSTABLE
0.5,1.0673204308002464,0.05716259047293093,3.1471385691637144,UNSTABLE
0.75,1.2636320499116729,-0.17710477186175388,3.0660758143490523,UNSTABLE
1.0,1.439581050075779,-0.3010592419542829,2.909489318307399,UNSTABLE
1.25,1.5509233046960558,-0.30171122407316175,2.675281620174861,UNSTABLE
1.5,1.5476204548856813,-0.33483283783717316,2.413546894841243,UNSTABLE
1.75,1.4452959123211904,-0.43360821042675524,2.1358008193843983,UNSTABLE
2.0,1.2594805592683782,-0.5585986431332548,2.0440350628883754,UNSTABLE
2.25,0.9183594968527118,-0.6282319250373237,2.0478010748973543,UNSTABLE
2.5,0.6729425288907225,-0.9725111036791204,1.9733771429368674,UNSTABLE
2.75,0.5367438459234541,-1.2739603763845917,1.8524132111371274,UNSTABLE
3.0,0.5832711132356712,-1.3947248384533695,1.6937562118493095,UNSTABLE
3.25,0.710898610905932,-1.434301986568977,1.7327250748800993,UNSTABLE
3.5,0.7542556514951438,-1.4260503284729387,1.748230874158061,UNSTABLE
3.75,0.6907119020152792,-1.42284114854536,1.7496735119945106,UNSTABLE
4.0,0.6267931310851723,-1.4495197807389983,1.790055896501489,UNSTABLE
4.25,0.6423278797404917,-1.41335229049071,1.8339504315037498,UNSTABLE
4.5,0.6490967142660897,-1.185361526138255,1.8580745912192564,UNSTABLE
4.75,0.6722571932792243,-0.7969667608428863,1.8424338797991848,UNSTABLE
5.0,0.7766492953797298,-0.8888144008615919,1.750411959817283,UNSTABLE
5.25,0.9339752900398157,-0.9490477248740564,1.6248658120882702,UNSTABLE
5.5,1.019805783212299,-0.8970844461706309,1.6116651083391118,UNSTABLE
5.75,0.9956426628906863,-0.6848799562779797,1.6897909351162923,UNSTABLE
6.0,1.3164084396270967,-0.35681270181538094,1.7765323860248325,UNSTABLE
6.25,1.087099189408904,-0.24303057379260162,1.8831245142257873,UNSTABLE
6.5,1.091240276470047,-0.5887990902301584,1.9907857822644401,UNSTABLE
6.75,1.051532697152999,-0.6884687694226564,1.8115014839086914,UNSTABLE
7.0,0.913613788132537,-0.27240900794900247,1.4969664036992667,UNSTABLE
7.25,0.6222403831424472,-0.45068976190628407,1.335680570986656,UNSTABLE
