t,x_true,x_est,y_true,y_est,z_true,z_est,vx_true,vx_est,vy_true,vy_est,vz_true,vz_est,phi_true,phi_est,theta_true,theta_est,psi_true,psi_est,p_true,p_est,q_true,q_est,r_true,r_est
0,4.60183,4.62073,4.96252,4.93487,0.313534,0.342837,0,0.0213406,0,0.00196529,0,0.0284559,0.0259383,-0.00321989,-0.00691345,-0.014886,0.0170917,0.00649193,0,-0.0251015,0,0.0173935,0,0.000333685
0.01,4.60183,4.62243,4.9625,4.93207,0.313935,0.344516,-0.00111296,0.0191097,-0.00459479,0.00286702,0.0797738,0.112168,0.0252695,-0.00345492,-0.00626778,-0.012258,0.017107,0.00707376,-0.131978,-0.157498,0.127409,0.148183,0.00306668,0.00316542
0.02,4.60181,4.62306,4.96243,4.92947,0.31512,0.347307,-0.00199106,0.0174381,-0.0088849,0.00232548,0.156781,0.19312,0.0233336,-0.00542226,-0.00439895,-0.00906929,0.017153,0.007414,-0.253491,-0.280555,0.244715,0.26878,0.00612099,0.00601527
0.03,4.60179,4.62323,4.96232,4.92723,0.317062,0.350374,-0.00244271,0.0164361,-0.0126667,0.00136826,0.231111,0.271277,0.0202328,-0.00852719,-0.00140549,-0.00523772,0.0172294,0.00758192,-0.365053,-0.393252,0.352415,0.379326,0.00916286,0.00887462
0.04,4.60177,4.62337,4.96218,4.92514,0.319734,0.353606,-0.00230095,0.0164133,-0.0157627,0.00107232,0.302851,0.347293,0.0160641,-0.0125761,0.00261893,-0.000565704,0.0173362,0.00764604,-0.467162,-0.496097,0.450989,0.480542,0.0121922,0.0117663
0.05,4.60175,4.6237,4.96201,4.92309,0.323111,0.357167,-0.00142134,0.0175911,-0.0180196,0.00213773,0.372085,0.42125,0.0109195,-0.0174806,0.0075854,0.00500858,0.0174732,0.0076612,-0.560297,-0.589497,0.5409,0.572789,0.015209,0.0146915
0.06,4.60174,4.62422,4.96182,4.92113,0.327168,0.361255,0.000320321,0.0200474,-0.0193054,0.00484452,0.438896,0.492782,0.00488649,-0.0231459,0.0134096,0.0114074,0.0176403,0.00766765,-0.644926,-0.673707,0.622599,0.656239,0.0182131,0.0176318
0.07,4.60176,4.62487,4.96163,4.91939,0.331881,0.366023,0.00302984,0.0237558,-0.0195076,0.00919376,0.503362,0.561471,-0.00195216,-0.0294635,0.0200115,0.0184851,0.0178374,0.00769282,-0.721499,-0.749069,0.696521,0.731175,0.0212046,0.0205647
0.08,4.6018,4.62554,4.96144,4.91799,0.337227,0.371558,0.00679656,0.0286554,-0.0185308,0.0150537,0.565559,0.627077,-0.00951809,-0.0363296,0.0273155,0.0260942,0.0180644,0.00775459,-0.790452,-0.816088,0.763087,0.798075,0.0241832,0.0234737
0.09,4.6019,4.62618,4.96126,4.91701,0.343185,0.377879,0.0116949,0.0346792,-0.0162951,0.0222707,0.625563,0.689575,-0.0177372,-0.0436567,0.03525,0.0341151,0.0183211,0.00786475,-0.852205,-0.875391,0.822702,0.857549,0.027149,0.026351
0.1,4.60204,4.62677,4.96111,4.91648,0.349731,0.384964,0.0177862,0.0417854,-0.0127342,0.0307119,0.683444,0.749095,-0.0265395,-0.0513781,0.0437476,0.0424614,0.0186073,0.00803113,-0.907163,-0.927638,0.875757,0.910249,0.0301018,0.0291962
0.11,4.60226,4.62729,4.96101,4.91637,0.356847,0.392764,0.0251195,0.0499483,-0.0077938,0.0402902,0.739273,0.805851,-0.0358591,-0.0594429,0.0527446,0.0510747,0.018923,0.00825895,-0.955716,-0.973443,0.922629,0.956791,0.0330417,0.0320134
0.12,4.60255,4.62778,4.96096,4.91666,0.36451,0.401216,0.0337336,0.0591712,-0.00143016,0.0509581,0.793117,0.860086,-0.0456338,-0.0678134,0.0621808,0.0599167,0.0192681,0.00855229,-0.998241,-1.01334,0.963682,0.997713,0.0359685,0.0348088
0.13,4.60293,4.62828,4.96099,4.91729,0.372703,0.410252,0.0436576,0.0694704,0.00639116,0.0627049,0.845042,0.912034,-0.055805,-0.0764598,0.072,0.0689623,0.0196424,0.00891413,-1.0351,-1.04777,0.999263,1.03347,0.0388821,0.0375895
0.14,4.60343,4.62882,4.9611,4.91821,0.381405,0.419804,0.0549126,0.0808757,0.0156966,0.0755435,0.89511,0.961906,-0.066318,-0.0853562,0.082149,0.0781938,0.0200457,0.00934662,-1.06664,-1.0771,1.02971,1.06444,0.0417826,0.0403619
0.15,4.60404,4.62945,4.96131,4.91936,0.390599,0.429813,0.0675118,0.0934204,0.0265056,0.0895028,0.943382,1.00988,-0.0771211,-0.0944803,0.0925781,0.0875977,0.020478,0.00985102,-1.09319,-1.10163,1.05534,1.09092,0.0446699,0.0431321
0.16,4.60478,4.63021,4.96163,4.92071,0.400267,0.440232,0.0814623,0.107144,0.0388314,0.10463,0.989919,1.05612,-0.0881662,-0.103812,0.103241,0.0971622,0.0209391,0.0104276,-1.11507,-1.12161,1.07647,1.11317,0.0475438,0.0459047
0.17,4.60567,4.63115,4.96209,4.9222,0.410392,0.451025,0.0967652,0.12208,0.0526822,0.120971,1.03478,1.10074,-0.099408,-0.11333,0.114093,0.106876,0.0214288,0.0110761,-1.13259,-1.13724,1.09338,1.13139,0.0504044,0.0486831
0.18,4.60672,4.63227,4.96269,4.92382,0.420957,0.462163,0.113417,0.13826,0.0680616,0.138576,1.07801,1.14383,-0.110804,-0.123014,0.125095,0.116726,0.0219471,0.0117949,-1.14605,-1.14874,1.10637,1.14577,0.0532516,0.0514696
0.19,4.60794,4.63363,4.96345,4.92553,0.431947,0.473627,0.131408,0.155705,0.0849693,0.157488,1.11968,1.18548,-0.122316,-0.132843,0.136209,0.126699,0.0224938,0.0125818,-1.15571,-1.15629,1.1157,1.15648,0.0560852,0.0542649
0.2,4.60935,4.63522,4.96439,4.92731,0.443345,0.485409,0.150728,0.174433,0.103402,0.177748,1.15983,1.22576,-0.133907,-0.142796,0.147398,0.136778,0.0230688,0.0134331,-1.16186,-1.16009,1.12164,1.1637,0.0589053,0.0570687
0.21,4.61096,4.63707,4.96553,4.92917,0.455138,0.497504,0.171361,0.194446,0.123353,0.199384,1.19851,1.2647,-0.145543,-0.152849,0.158631,0.146946,0.0236719,0.0143444,-1.16474,-1.16035,1.12442,1.16757,0.0617118,0.059879
0.22,4.61279,4.63918,4.96687,4.93108,0.467311,0.509907,0.193288,0.215735,0.144814,0.222417,1.23578,1.30235,-0.157192,-0.162981,0.169877,0.157184,0.024303,0.0153103,-1.16461,-1.15731,1.12429,1.16828,0.0645046,0.0626928
0.23,4.61483,4.64155,4.96843,4.93306,0.479849,0.522626,0.216488,0.238277,0.167774,0.24685,1.27167,1.33873,-0.168825,-0.173168,0.181108,0.167469,0.0249619,0.0163244,-1.16169,-1.15122,1.12147,1.16602,0.0672837,0.0655059
0.24,4.61712,4.64418,4.97023,4.93511,0.49274,0.535657,0.240939,0.262039,0.192219,0.272677,1.30624,1.37389,-0.180417,-0.183384,0.192298,0.177778,0.0256486,0.0173798,-1.1562,-1.14234,1.11617,1.16099,0.070049,0.0683129
0.25,4.61966,4.64708,4.97228,4.93723,0.50597,0.549009,0.266615,0.286975,0.218138,0.299876,1.33953,1.40783,-0.191942,-0.193606,0.203423,0.188089,0.0263628,0.0184691,-1.14835,-1.13098,1.1086,1.15341,0.0728005,0.071108
0.26,4.62246,4.65023,4.97459,4.93945,0.519526,0.562682,0.293491,0.31303,0.245512,0.328413,1.37159,1.44059,-0.203377,-0.203811,0.214463,0.198375,0.0271045,0.0195843,-1.13835,-1.11744,1.09894,1.1435,0.0755381,0.0738847
0.27,4.62553,4.65366,4.97719,4.94177,0.533398,0.576681,0.321538,0.34014,0.274327,0.358246,1.40244,1.47221,-0.214702,-0.213975,0.225396,0.208614,0.0278736,0.0207174,-1.12639,-1.10203,1.08739,1.13153,0.0782618,0.0766362
0.28,4.62889,4.65734,4.98009,4.94421,0.547572,0.591008,0.350727,0.368238,0.304565,0.389319,1.43215,1.5027,-0.225899,-0.224077,0.236205,0.218784,0.0286697,0.0218611,-1.11264,-1.08507,1.07412,1.11774,0.0809714,0.079356
0.29,4.63255,4.6613,4.98329,4.94679,0.562037,0.605667,0.38103,0.397257,0.336207,0.421577,1.46073,1.53212,-0.236949,-0.234095,0.246873,0.228864,0.0294929,0.023008,-1.09727,-1.06686,1.05929,1.10239,0.083667,0.0820378
0.3,4.63651,4.66555,4.98681,4.94953,0.576783,0.620664,0.412415,0.427131,0.369233,0.454959,1.48824,1.5605,-0.247839,-0.244012,0.257386,0.238836,0.030343,0.0241522,-1.08045,-1.04767,1.04305,1.08575,0.0863485,0.0846765
0.31,4.6408,4.67011,4.99068,4.95245,0.591798,0.636001,0.444852,0.457804,0.403625,0.489406,1.51471,1.5879,-0.258554,-0.253809,0.26773,0.248686,0.0312199,0.0252886,-1.06233,-1.02772,1.02555,1.06806,0.0890159,0.0872675
0.32,4.64541,4.67502,4.99489,4.95557,0.607073,0.651685,0.478309,0.489226,0.439361,0.52487,1.54017,1.61437,-0.269082,-0.263472,0.277893,0.258404,0.0321233,0.0264133,-1.04305,-1.00717,1.00694,1.04955,0.091669,0.0898082
0.33,4.65037,4.68029,4.99947,4.95892,0.622598,0.667721,0.512754,0.52137,0.476421,0.561311,1.56465,1.63997,-0.279412,-0.272982,0.287865,0.267984,0.0330532,0.0275244,-1.02274,-0.986085,0.987337,1.03042,0.0943079,0.0922974
0.34,4.65567,4.68595,5.00442,4.96252,0.638363,0.684111,0.548156,0.554225,0.514783,0.598708,1.5882,1.66474,-0.289534,-0.282323,0.297637,0.277425,0.0340094,0.0286215,-1.00154,-0.964404,0.966871,1.01083,0.0969325,0.0947361
0.35,4.66134,4.69204,5.00977,4.96641,0.654359,0.70085,0.584481,0.587798,0.554424,0.637055,1.61084,1.68876,-0.29944,-0.29147,0.3072,0.286726,0.0349918,0.0297061,-0.979568,-0.941932,0.945655,0.990913,0.0995428,0.0971274
0.36,4.66737,4.69858,5.01552,4.97064,0.670577,0.717927,0.621699,0.622128,0.595322,0.676369,1.6326,1.71205,-0.309123,-0.300394,0.316548,0.295895,0.0360002,0.0307812,-0.956929,-0.918298,0.9238,0.970735,0.102139,0.0994765
0.37,4.67377,4.70557,5.02168,4.97523,0.687009,0.735325,0.659776,0.657265,0.637455,0.716689,1.65352,1.73467,-0.318577,-0.309056,0.325675,0.304935,0.0370345,0.0318512,-0.933731,-0.892948,0.901406,0.950322,0.10472,0.101791
0.38,4.68056,4.713,5.02827,4.98026,0.703645,0.753011,0.69868,0.69329,0.680798,0.758069,1.67362,1.75665,-0.327795,-0.317406,0.334575,0.313853,0.0380946,0.0329221,-0.909878,-0.86514,0.878568,0.929658,0.107287,0.10408
0.39,4.68775,4.72088,5.0353,4.98577,0.720478,0.770946,0.73838,0.730289,0.725327,0.800574,1.69293,1.77799,-0.336778,-0.325381,0.343245,0.322655,0.0391802,0.0340001,-0.886238,-0.833976,0.855375,0.90869,0.109839,0.106354
0.4,4.69533,4.72916,5.04278,4.99181,0.737501,0.789087,0.778844,0.768352,0.771018,0.844267,1.71148,1.79871,-0.34549,-0.332912,0.351681,0.331344,0.0402913,0.0350921,-0.854477,-0.798464,0.831911,0.887352,0.112377,0.108625
0.41,4.70333,4.7378,5.05072,4.99844,0.754705,0.807388,0.820041,0.807558,0.817836,0.889193,1.72929,1.81879,-0.353833,-0.339922,0.359882,0.339919,0.0414277,0.0362043,-0.812474,-0.757615,0.808253,0.865579,0.1149,0.110903
0.42,4.71174,4.74678,5.05914,5.00569,0.772084,0.825803,0.86194,0.847958,0.865731,0.935362,1.74639,1.83823,-0.361709,-0.346339,0.367846,0.348378,0.0425893,0.0373419,-0.761283,-0.71055,0.784472,0.843323,0.117409,0.113198
0.43,4.72057,4.75606,5.06804,5.01356,0.789631,0.844295,0.904513,0.889563,0.914641,0.982734,1.76281,1.85701,-0.369031,-0.3521,0.375572,0.356712,0.0437758,0.0385086,-0.701753,-0.65662,0.760635,0.820577,0.119903,0.115517
0.44,4.72983,4.7656,5.07744,5.02206,0.807338,0.862828,0.947731,0.932336,0.96449,1.03121,1.77856,1.87513,-0.375719,-0.357156,0.383059,0.364912,0.0449873,0.0397064,-0.634682,-0.595488,0.736804,0.797373,0.122382,0.117863
0.45,4.73953,4.77538,5.08733,5.03115,0.8252,0.881378,0.991567,0.976192,1.01519,1.08064,1.79368,1.89258,-0.381702,-0.361475,0.390308,0.372966,0.0462234,0.0409347,-0.560813,-0.527144,0.713035,0.773789,0.124846,0.120237
0.46,4.74966,4.78539,5.09774,5.04078,0.84321,0.899922,1.036,1.02101,1.06665,1.13083,1.80818,1.90938,-0.386915,-0.365042,0.39732,0.38086,0.0474841,0.0421922,-0.480841,-0.45188,0.689381,0.749944,0.127296,0.122636
0.47,4.76025,4.79563,5.10867,5.0509,0.861362,0.918452,1.08099,1.06663,1.11876,1.18156,1.82208,1.92554,-0.3913,-0.367857,0.404096,0.388579,0.0487693,0.0434759,-0.395408,-0.370204,0.665889,0.725975,0.12973,0.125057
0.48,4.77128,4.80612,5.12012,5.06147,0.87965,0.936968,1.12653,1.11292,1.17141,1.23261,1.83541,1.94109,-0.394807,-0.369926,0.410638,0.396108,0.0500787,0.0447824,-0.305109,-0.282743,0.642604,0.70204,0.13215,0.127493
0.49,4.78278,4.81687,5.1321,5.07244,0.898068,0.955484,1.17259,1.15972,1.22447,1.28379,1.84819,1.95607,-0.397388,-0.371259,0.416949,0.403436,0.0514122,0.0461087,-0.210491,-0.190147,0.619565,0.678289,0.134555,0.129941
0.5,4.79474,4.82792,5.14461,5.08379,0.916612,0.974027,1.21916,1.20692,1.27781,1.33493,1.86043,1.97049,-0.399004,-0.371865,0.42303,0.41055,0.0527698,0.0474526,-0.112052,-0.0930311,0.59681,0.654857,0.136945,0.132397
0.51,4.80716,4.83931,5.15766,5.0955,0.935275,0.992627,1.2662,1.25444,1.33131,1.38589,1.87216,1.98441,-0.399618,-0.371747,0.428886,0.417442,0.0541511,0.0488122,-0.0102476,0.00806891,0.57437,0.631855,0.13932,0.134857
0.52,4.82006,4.85109,5.17124,5.10757,0.954053,1.01132,1.31371,1.30224,1.38481,1.43658,1.88339,1.99786,-0.399199,-0.370901,0.434519,0.424104,0.0555561,0.0501873,0.0945144,0.11268,0.552276,0.609362,0.141679,0.137322
0.53,4.83344,4.8633,5.18535,5.12004,0.972941,1.03015,1.36166,1.35028,1.43819,1.48694,1.89414,2.01086,-0.397719,-0.369317,0.439933,0.430531,0.0569846,0.0515776,0.201869,0.220385,0.530554,0.587423,0.144024,0.139789
0.54,4.8473,4.87596,5.2,5.13293,0.991935,1.04915,1.41004,1.39857,1.49129,1.53694,1.90443,2.02345,-0.395154,-0.366974,0.445131,0.436714,0.0584365,0.0529834,0.311496,0.330754,0.509228,0.566056,0.146354,0.142261
0.55,4.86164,4.88912,5.21518,5.14629,1.01103,1.06833,1.45884,1.44714,1.54397,1.58654,1.91427,2.03564,-0.391482,-0.363844,0.450119,0.44265,0.0599116,0.054405,0.423118,0.443326,0.488318,0.545246,0.148668,0.144736
0.56,4.87648,4.90278,5.23088,5.16018,1.03022,1.0877,1.50804,1.49602,1.59607,1.63571,1.92368,2.04745,-0.386686,-0.359892,0.454899,0.448328,0.0614098,0.055842,0.536498,0.557555,0.467843,0.524958,0.150967,0.147215
0.57,4.8918,4.91695,5.24709,5.17465,1.0495,1.10725,1.55763,1.54521,1.64745,1.68441,1.93268,2.0589,-0.380747,-0.355077,0.459477,0.453741,0.0629309,0.0572934,0.651444,0.672772,0.447818,0.505145,0.153252,0.149696
0.58,4.90763,4.93163,5.26382,5.18976,1.06887,1.12694,1.60761,1.59476,1.69796,1.73259,1.94128,2.06999,-0.373652,-0.349354,0.463857,0.458878,0.0644748,0.0587573,0.767807,0.788167,0.428257,0.485746,0.15552,0.152176
0.59,4.92396,4.94679,5.28105,5.20556,1.08833,1.14674,1.65795,1.64467,1.74745,1.78016,1.94949,2.08072,-0.365387,-0.342676,0.468044,0.463727,0.0660413,0.0602311,0.885481,0.902796,0.409171,0.466704,0.157774,0.15465
0.6,4.94079,4.96242,5.29877,5.22208,1.10786,1.16659,1.70866,1.69493,1.79578,1.82702,1.95734,2.09108,-0.355938,-0.334998,0.472042,0.468276,0.0676302,0.0617117,1.00441,1.01558,0.39057,0.447963,0.160012,0.157115
0.61,4.95813,4.97848,5.31696,5.23936,1.12747,1.18645,1.75973,1.74556,1.8428,1.87303,1.96482,2.10107,-0.345294,-0.326278,0.475857,0.472514,0.0692415,0.0631956,1.12458,1.12537,0.37246,0.429478,0.162235,0.159563
0.62,4.97599,4.99495,5.33562,5.25739,1.14715,1.20625,1.81115,1.79652,1.88836,1.91805,1.97196,2.11068,-0.333448,-0.316483,0.479493,0.476434,0.0708749,0.0646801,1.2437,1.23095,0.354848,0.411227,0.164443,0.161989
0.63,4.99436,5.01181,5.35472,5.27617,1.16691,1.22597,1.86291,1.84781,1.93233,1.96192,1.97877,2.11989,-0.320456,-0.30559,0.482956,0.480032,0.0725303,0.0661627,1.35258,1.33113,0.337738,0.393197,0.166635,0.164385
0.64,5.01325,5.02906,5.37426,5.29566,1.18673,1.24559,1.91502,1.89942,1.97458,2.00445,1.98526,2.1287,-0.306435,-0.293593,0.48625,0.483309,0.0742076,0.0676427,1.44968,1.42483,0.321133,0.375394,0.168812,0.166748
0.65,5.03266,5.04668,5.39421,5.31581,1.20661,1.26511,1.96747,1.95132,2.01503,2.04548,1.99144,2.1371,-0.291499,-0.280503,0.48938,0.486277,0.0759065,0.0691203,1.53584,1.51108,0.305032,0.357848,0.170973,0.169073
0.66,5.0526,5.06469,5.41455,5.33653,1.22656,1.28457,2.02025,2.00353,2.05356,2.08486,1.99733,2.14507,-0.275753,-0.266349,0.492352,0.488952,0.077627,0.0705981,1.6117,1.58914,0.289437,0.340596,0.173119,0.171357
0.67,5.07306,5.08311,5.43527,5.35774,1.24656,1.30401,2.07336,2.05603,2.09013,2.12244,2.00293,2.15263,-0.259297,-0.251186,0.49517,0.491358,0.0793688,0.0720798,1.67785,1.65849,0.274345,0.323693,0.17525,0.1736
0.68,5.09406,5.10198,5.45635,5.37935,1.26661,1.32349,2.1268,2.10885,2.12466,2.1581,2.00825,2.15978,-0.242226,-0.235087,0.49784,0.493527,0.0811319,0.0735694,1.73488,1.71883,0.259755,0.307203,0.177365,0.175803
0.69,5.1156,5.1213,5.47776,5.40126,1.28672,1.34306,2.18056,2.16198,2.15712,2.19173,2.01331,2.16653,-0.224628,-0.218144,0.500367,0.495492,0.0829161,0.0750726,1.78336,1.77012,0.245662,0.291189,0.179464,0.177968
0.7,5.13768,5.14113,5.49949,5.42339,1.30688,1.36278,2.23464,2.21544,2.18746,2.22326,2.01812,2.1729,-0.206586,-0.200466,0.502755,0.497292,0.0847211,0.076594,1.82383,1.81254,0.232063,0.275716,0.181548,0.180097
0.71,5.16029,5.16146,5.5215,5.44566,1.32708,1.38268,2.28903,2.26922,2.21566,2.25263,2.02268,2.17891,-0.188177,-0.182174,0.50501,0.498964,0.086547,0.0781383,1.85681,1.84643,0.218952,0.260845,0.183616,0.182193
0.72,5.18346,5.18234,5.54379,5.46801,1.34733,1.40278,2.34373,2.32331,2.24171,2.27981,2.027,2.18459,-0.169473,-0.163391,0.507136,0.500544,0.0883934,0.0797091,1.88279,1.87225,0.206323,0.246625,0.185669,0.184261
0.73,5.20717,5.20376,5.56633,5.49041,1.36762,1.42308,2.39874,2.37771,2.2656,2.30478,2.0311,2.18995,-0.150542,-0.144243,0.509138,0.502064,0.0902603,0.0813089,1.90226,1.89061,0.194169,0.233101,0.187706,0.186302
0.74,5.23143,5.22573,5.5891,5.51284,1.38795,1.44357,2.45404,2.43241,2.28731,2.32752,2.03498,2.19503,-0.131448,-0.124851,0.511021,0.50355,0.0921475,0.0829395,1.91565,1.90211,0.182484,0.220291,0.189728,0.18832
0.75,5.25625,5.24823,5.61207,5.53529,1.40832,1.46422,2.50965,2.48739,2.30686,2.34806,2.03865,2.19984,-0.112248,-0.105325,0.512789,0.505024,0.0940548,0.0846015,1.92342,1.90742,0.171258,0.208209,0.191734,0.190317
0.76,5.28163,5.27127,5.63523,5.55778,1.42873,1.48497,2.56555,2.54266,2.32425,2.36639,2.04212,2.20439,-0.0929971,-0.0857598,0.514448,0.5065,0.0959821,0.0862949,1.92596,1.90718,0.160484,0.196846,0.193724,0.192294
0.77,5.30756,5.29483,5.65855,5.58036,1.44916,1.50579,2.62174,2.59819,2.3395,2.38255,2.04539,2.20869,-0.073745,-0.0662371,0.516,0.507987,0.0979292,0.0880198,1.92369,1.90199,0.150153,0.186182,0.195698,0.194252
0.78,5.33406,5.3189,5.68201,5.60305,1.46963,1.52662,2.67822,2.654,2.35262,2.39654,2.04848,2.21275,-0.0545382,-0.0468204,0.517452,0.509486,0.099896,0.0897752,1.91697,1.89242,0.140256,0.176179,0.197657,0.196194
0.79,5.36113,5.34346,5.70559,5.62591,1.49013,1.5474,2.73499,2.71009,2.36362,2.40841,2.05139,2.21654,-0.0354193,-0.0275589,0.518807,0.510996,0.101882,0.0915609,1.90616,1.879,0.130782,0.166787,0.1996,0.19812
0.8,5.38876,5.3685,5.72927,5.64899,1.51066,1.56808,2.79203,2.76647,2.37254,2.41816,2.05413,2.22008,-0.0164275,-0.00848615,0.520069,0.512507,0.103888,0.0933761,1.8916,1.86216,0.121723,0.157949,0.201528,0.20003
0.81,5.41697,5.39402,5.75304,5.67233,1.53122,1.58864,2.84936,2.82316,2.37939,2.42583,2.0567,2.22332,0.00240135,0.0103755,0.521243,0.514008,0.105913,0.0952206,1.87362,1.84233,0.113068,0.149597,0.203439,0.201927
0.82,5.44575,5.42001,5.77686,5.69598,1.55179,1.60902,2.90697,2.88016,2.38421,2.43144,2.05911,2.22627,0.0210345,0.0290124,0.522332,0.515483,0.107957,0.0970943,1.85252,1.81985,0.104807,0.141656,0.205335,0.20381
0.83,5.47511,5.44646,5.80071,5.71998,1.5724,1.62921,2.96485,2.93748,2.38701,2.43501,2.06138,2.22891,0.0394423,0.0474166,0.52334,0.516915,0.110019,0.0989971,1.82859,1.79502,0.0969291,0.134058,0.207216,0.205681
0.84,5.50505,5.47337,5.82459,5.74434,1.59302,1.64919,3.023,2.99512,2.38784,2.43656,2.06349,2.23124,0.0575979,0.0655821,0.524272,0.518284,0.112101,0.100929,1.80211,1.76809,0.089424,0.126729,0.20908,0.207541
0.85,5.53557,5.50075,5.84846,5.76905,1.61367,1.66896,3.08143,3.05308,2.38672,2.43613,2.06547,2.23325,0.075477,0.0835024,0.52513,0.519573,0.114201,0.102891,1.77334,1.73927,0.0822812,0.1196,0.210928,0.209392
0.86,5.56668,5.52858,5.87232,5.79411,1.63433,1.68853,3.14013,3.11135,2.38369,2.43375,2.06731,2.23497,0.0930578,0.101167,0.525918,0.520763,0.116319,0.104883,1.74252,1.70873,0.07549,0.112608,0.212761,0.211237
0.87,5.59838,5.55688,5.89613,5.81945,1.65501,1.70794,3.19909,3.16991,2.37878,2.42946,2.06902,2.23643,0.110321,0.118557,0.526641,0.521841,0.118456,0.106906,1.70988,1.6766,0.0690395,0.105704,0.214578,0.213079
0.88,5.63066,5.58563,5.91989,5.84502,1.67571,1.72724,3.25832,3.22877,2.37203,2.42332,2.07061,2.23771,0.12725,0.13565,0.5273,0.5228,0.120611,0.108959,1.67565,1.64296,0.0629191,0.098855,0.216379,0.214924
0.89,5.66354,5.61483,5.94357,5.87071,1.69642,1.74652,3.31782,3.2879,2.36347,2.4154,2.07207,2.23889,0.14383,0.152413,0.5279,0.523643,0.122784,0.111043,1.64002,1.60785,0.0571181,0.0920441,0.218165,0.216781
0.9,5.69702,5.64447,5.96715,5.8964,1.71715,1.76589,3.37759,3.34733,2.35314,2.40581,2.07343,2.24012,0.160047,0.168822,0.528444,0.524388,0.124974,0.113155,1.60319,1.57126,0.051626,0.0852795,0.219934,0.218666
0.91,5.7311,5.67457,5.99062,5.92196,1.73789,1.78548,3.43761,3.40708,2.34108,2.39465,2.07467,2.24155,0.17589,0.184892,0.528934,0.525085,0.127182,0.115282,1.56534,1.53321,0.046432,0.0785585,0.221688,0.220606
0.92,5.76577,5.70513,6.01397,5.94734,1.75864,1.80545,3.4979,3.4672,2.32732,2.38204,2.07582,2.24342,0.191351,0.200764,0.529373,0.525828,0.129408,0.117391,1.52664,1.49381,0.0415259,0.0718672,0.223426,0.222659
0.93,5.80105,5.73622,6.03716,5.97263,1.77941,1.82604,3.55846,3.52767,2.31192,2.36802,2.07686,2.24601,0.206421,0.216803,0.529765,0.526785,0.131651,0.119399,1.48725,1.45343,0.0368972,0.0653045,0.225148,0.224931
0.94,5.83694,5.76796,6.0602,5.99811,1.80018,1.84753,3.61927,3.58794,2.2949,2.35226,2.0778,2.24935,0.221094,0.233201,0.530112,0.52806,0.133911,0.12117,1.44732,1.41214,0.0325358,0.0600791,0.226854,0.227522
0.95,5.87344,5.80057,6.08306,6.02368,1.82096,1.86888,3.68034,3.64643,2.2763,2.33369,2.07866,2.25219,0.235366,0.248175,0.530417,0.529119,0.136188,0.122699,1.40698,1.36898,0.0283812,0.0592795,0.228544,0.230156
0.96,5.91055,5.83427,6.10572,6.04871,1.84175,1.88765,3.74166,3.70331,2.25617,2.31192,2.07942,2.25261,0.249233,0.259953,0.529872,0.52879,0.138482,0.124327,1.36636,1.32628,-0.180286,0.0534811,0.230218,0.232326
0.97,5.94827,5.86916,6.12817,6.07284,1.86255,1.90765,3.80293,3.76114,2.23455,2.28914,2.0801,2.2528,0.262692,0.271447,0.526731,0.526767,0.140792,0.126114,1.32558,1.28516,-0.437491,-0.0303299,0.231877,0.234261
0.98,5.98661,5.90497,6.15041,6.09614,1.88336,1.93184,3.86387,3.82123,2.21148,2.26719,2.08071,2.25457,0.275744,0.283553,0.52125,0.523608,0.143119,0.127905,1.28476,1.24393,-0.655585,-0.230921,0.233519,0.236208
0.99,6.02555,5.94139,6.1724,6.11995,1.90417,1.95479,3.92417,3.8818,2.18701,2.24405,2.08123,2.25553,0.288388,0.29581,0.51368,0.519244,0.145462,0.129721,1.24398,1.20279,-0.855337,-0.447761,0.235146,0.238107
1,6.06509,5.97845,6.19414,6.14447,1.92498,1.9753,3.98359,3.94171,2.16117,2.21892,2.08169,2.25517,0.300624,0.307966,0.504201,0.513339,0.147822,0.131587,1.20336,1.16224,-1.03768,-0.646109,0.236757,0.239923
1.01,6.10522,6.0162,6.21562,6.16929,1.9458,1.99445,4.04191,4.00049,2.13403,2.19193,2.08207,2.25404,0.312456,0.3199,0.492982,0.505728,0.150198,0.133516,1.16296,1.12252,-1.2035,-0.829551,0.238352,0.241651
1.02,6.14592,6.05459,6.23682,6.19401,1.96662,2.01302,4.09892,4.05785,2.10563,2.16326,2.08238,2.25248,0.323884,0.331563,0.480183,0.496421,0.152589,0.135523,1.12288,1.0836,-1.35369,-0.999398,0.239931,0.243298
1.03,6.18719,6.0936,6.25773,6.21835,1.98745,2.03147,4.15447,4.11362,2.07601,2.13305,2.08264,2.25062,0.334914,0.342927,0.465958,0.485521,0.154996,0.137626,1.08318,1.04535,-1.48908,-1.15482,0.241494,0.244873
1.04,6.22901,6.1332,6.27833,6.24212,2.00827,2.0501,4.20841,4.1678,2.04522,2.10148,2.08283,2.24853,0.34555,0.353972,0.450448,0.473158,0.157419,0.139837,1.04393,1.00766,-1.61048,-1.2957,0.243041,0.246391
1.05,6.27135,6.1734,6.29863,6.26521,2.0291,2.06913,4.26062,4.2204,2.01331,2.06873,2.08296,2.24621,0.355795,0.364683,0.433792,0.459452,0.159857,0.142167,1.00519,0.970402,-1.71868,-1.42281,0.244573,0.247867
