t,x_des,y_des,z_des,x_act,y_act,z_act
0.78,2.3187,2.25551,2.47275,0.616598,0.69698,2.47275
0.79,2.34788,2.28224,2.47205,0.640173,0.725274,2.47205
0.8,2.37703,2.3089,2.47134,0.664246,0.75425,2.47134
0.81,2.40616,2.33546,2.47062,0.688818,0.78391,2.47062
0.82,2.43526,2.36195,2.46989,0.713888,0.814254,2.46989
0.83,2.46435,2.38835,2.46916,0.739456,0.845283,2.46916
0.84,2.49341,2.41466,2.46842,0.765522,0.876995,2.46842
0.85,2.52245,2.44089,2.46766,0.792087,0.909389,2.46766
0.86,2.55147,2.46702,2.4669,0.819151,0.942462,2.4669
0.87,2.58047,2.49307,2.46613,0.846712,0.976211,2.46613
0.88,2.60944,2.51903,2.46535,0.874773,1.01063,2.46535
0.89,2.63839,2.5449,2.46457,0.903332,1.04572,2.46457
0.9,2.66731,2.57068,2.46377,0.93239,1.08146,2.46377
0.91,2.69622,2.59636,2.46297,0.961947,1.11785,2.46297
0.92,2.72509,2.62196,2.46215,0.992003,1.15489,2.46215
0.93,2.75394,2.64745,2.46133,1.02256,1.19256,2.46133
0.94,2.78277,2.67285,2.4605,1.05361,1.23085,2.4605
0.95,2.81157,2.69816,2.45966,1.08517,1.26976,2.45966
0.96,2.84035,2.72337,2.45881,1.11723,1.30926,2.45881
0.97,2.8691,2.74848,2.45796,1.14979,1.34934,2.45796
0.98,2.89783,2.77349,2.45709,1.18285,1.39,2.45709
0.99,2.92653,2.7984,2.45622,1.21641,1.43121,2.45622
1,2.9552,2.82321,2.45534,1.25048,1.47297,2.45534
1.01,2.98385,2.84792,2.45445,1.28505,1.51525,2.45445
1.02,3.01247,2.87253,2.45355,1.32012,1.55803,2.45355
1.03,3.04106,2.89703,2.45264,1.3557,1.6013,2.45264
1.04,3.06963,2.92143,2.45172,1.39178,1.64504,2.45172
1.05,3.09816,2.94572,2.4508,1.42835,1.68922,2.4508
1.06,3.12667,2.96991,2.44986,1.46543,1.73383,2.44986
1.07,3.15516,2.99399,2.44892,1.503,1.77885,2.44892
1.08,3.18361,3.01797,2.44797,1.54107,1.82426,2.44797
1.09,3.21203,3.04183,2.44701,1.57963,1.87002,2.44701
1.1,3.24043,3.06558,2.44604,1.61868,1.91612,2.44604
1.11,3.2688,3.08923,2.44507,1.65821,1.96254,2.44507
1.12,3.29713,3.11276,2.44408,1.69822,2.00925,2.44408
1.13,3.32544,3.13618,2.44309,1.73871,2.05623,2.44309
1.14,3.35372,3.15949,2.44209,1.77966,2.10346,2.44209
1.15,3.38197,3.18269,2.44108,1.82108,2.15091,2.44108
1.16,3.41018,3.20577,2.44006,1.86294,2.19856,2.44006
1.17,3.43837,3.22873,2.43903,1.90525,2.24638,2.43903
1.18,3.46653,3.25158,2.43799,1.948,2.29436,2.43799
1.19,3.49465,3.27431,2.43695,1.99116,2.34247,2.43695
1.2,3.52274,3.29692,2.4359,2.03474,2.39068,2.4359
1.21,3.5508,3.31942,2.43484,2.07872,2.43898,2.43484
1.22,3.57883,3.34179,2.43377,2.12308,2.48734,2.43377
1.23,3.60683,3.36405,2.43269,2.16781,2.53575,2.43269
1.24,3.63479,3.38618,2.4316,2.2129,2.58417,2.4316
1.25,3.66273,3.40819,2.43051,2.25832,2.63259,2.43051
1.26,3.69062,3.43008,2.4294,2.30406,2.68099,2.4294
1.27,3.71849,3.45185,2.42829,2.35011,2.72934,2.42829
1.28,3.74632,3.47349,2.42717,2.39644,2.77763,2.42717
1.29,3.77412,3.49501,2.42605,2.44305,2.82583,2.42605
1.3,3.80188,3.5164,2.42491,2.4899,2.87393,2.42491
1.31,3.82961,3.53766,2.42376,2.537,2.9219,2.42376
1.32,3.85731,3.5588,2.42261,2.58431,2.96974,2.42261
1.33,3.88497,3.57981,2.42145,2.63182,3.01741,2.42145
1.34,3.9126,3.60069,2.42028,2.67952,3.0649,2.42028
1.35,3.94019,3.62144,2.4191,2.72739,3.11219,2.4191
1.36,3.96774,3.64206,2.41792,2.77541,3.15927,2.41792
1.37,3.99526,3.66254,2.41672,2.82357,3.20611,2.41672
1.38,4.02275,3.6829,2.41552,2.87184,3.2527,2.41552
1.39,4.05019,3.70312,2.41431,2.92022,3.29902,2.41431
1.4,4.0776,3.72322,2.41309,2.96869,3.34506,2.41309
1.41,4.10498,3.74317,2.41186,3.01724,3.39079,2.41186
1.42,4.13232,3.76299,2.41063,3.06584,3.4362,2.41063
1.43,4.15962,3.78268,2.40938,3.11449,3.48128,2.40938
1.44,4.18688,3.80223,2.40813,3.16316,3.526,2.40813
1.45,4.2141,3.82164,2.40687,3.21186,3.57035,2.40687
1.46,4.24129,3.84092,2.4056,3.26056,3.61432,2.4056
1.47,4.26844,3.86006,2.40433,3.30924,3.65789,2.40433
1.48,4.29555,3.87906,2.40304,3.35791,3.70104,2.40304
1.49,4.32262,3.89792,2.40175,3.40654,3.74376,2.40175
1.5,4.34966,3.91663,2.40045,3.45513,3.78604,2.40045
1.51,4.37665,3.93521,2.39914,3.50366,3.82785,2.39914
1.52,4.4036,3.95365,2.39782,3.55212,3.86918,2.39782
1.53,4.43052,3.97194,2.3965,3.6005,3.91003,2.3965
1.54,4.45739,3.99009,2.39516,3.64878,3.95037,2.39516
1.55,4.48423,4.0081,2.39382,3.69697,3.99019,2.39382
1.56,4.51102,4.02596,2.39247,3.74505,4.02947,2.39247
1.57,4.53778,4.04368,2.39111,3.79301,4.06821,2.39111
1.58,4.56449,4.06125,2.38975,3.84084,4.1064,2.38975
1.59,4.59116,4.07868,2.38838,3.88854,4.144,2.38838
1.6,4.61779,4.09596,2.38699,3.93609,4.18103,2.38699
1.61,4.64438,4.11309,2.38561,3.98348,4.21745,2.38561
1.62,4.67093,4.13007,2.38421,4.03072,4.25327,2.38421
1.63,4.69743,4.14691,2.3828,4.07778,4.28846,2.3828
1.64,4.7239,4.16359,2.38139,4.12468,4.32302,2.38139
1.65,4.75032,4.18013,2.37997,4.17139,4.35693,2.37997
1.66,4.77669,4.19652,2.37854,4.21791,4.39019,2.37854
1.67,4.80303,4.21275,2.3771,4.26424,4.42279,2.3771
1.68,4.82932,4.22883,2.37566,4.31038,4.45471,2.37566
1.69,4.85557,4.24476,2.37421,4.3563,4.48594,2.37421
1.7,4.88177,4.26054,2.37274,4.40202,4.51648,2.37274
1.71,4.90793,4.27616,2.37128,4.44753,4.54631,2.37128
1.72,4.93405,4.29163,2.3698,4.49282,4.57543,2.3698
1.73,4.96012,4.30695,2.36832,4.53789,4.60382,2.36832
1.74,4.98615,4.32211,2.36682,4.58273,4.63149,2.36682
1.75,5.01213,4.33712,2.36532,4.62735,4.65841,2.36532
1.76,5.03807,4.35197,2.36382,4.67173,4.68459,2.36382
1.77,5.06396,4.36666,2.3623,4.71588,4.71002,2.3623
1.78,5.08981,4.38119,2.36078,4.75979,4.73469,2.36078
1.79,5.11561,4.39557,2.35925,4.80346,4.75859,2.35925
1.8,5.14136,4.40979,2.35771,4.84689,4.78172,2.35771
1.81,5.16707,4.42385,2.35616,4.89007,4.80408,2.35616
1.82,5.19273,4.43775,2.35461,4.93301,4.82565,2.35461
1.83,5.21834,4.45149,2.35305,4.9757,4.84645,2.35305
1.84,5.24391,4.46507,2.35148,5.01813,4.86646,2.35148
1.85,5.26943,4.47849,2.3499,5.06032,4.88569,2.3499
1.86,5.29491,4.49175,2.34832,5.10224,4.90414,2.34832
1.87,5.32033,4.50485,2.34672,5.1439,4.9218,2.34672
1.88,5.34571,4.51779,2.34512,5.18531,4.93867,2.34512
1.89,5.37104,4.53056,2.34352,5.22644,4.95477,2.34352
1.9,5.39632,4.54317,2.3419,5.26731,4.97008,2.3419
1.91,5.42155,4.55561,2.34028,5.30791,4.98463,2.34028
1.92,5.44674,4.5679,2.33865,5.34824,4.9984,2.33865
1.93,5.47187,4.58001,2.33701,5.38828,5.01141,2.33701
1.94,5.49696,4.59197,2.33536,5.42805,5.02366,2.33536
1.95,5.52199,4.60375,2.33371,5.46753,5.03516,2.33371
1.96,5.54698,4.61537,2.33205,5.50673,5.04592,2.33205
1.97,5.57192,4.62683,2.33038,5.54563,5.05594,2.33038
1.98,5.5968,4.63812,2.32871,5.58423,5.06523,2.32871
1.99,5.62164,4.64924,2.32703,5.62254,5.07381,2.32703
2,5.64642,4.6602,2.32534,5.66054,5.08168,2.32534
2.01,5.67116,4.67098,2.32364,5.69822,5.08886,2.32364
2.02,5.69584,4.6816,2.32193,5.7356,5.09535,2.32193
2.03,5.72048,4.69205,2.32022,5.77265,5.10117,2.32022
2.04,5.74506,4.70233,2.3185,5.80938,5.10632,2.3185
2.05,5.76959,4.71244,2.31677,5.84578,5.11083,2.31677
2.06,5.79406,4.72239,2.31504,5.88184,5.1147,2.31504
2.07,5.81849,4.73216,2.3133,5.91756,5.11795,2.3133
2.08,5.84286,4.74176,2.31155,5.95293,5.12059,2.31155
2.09,5.86718,4.75119,2.30979,5.98795,5.12264,2.30979
2.1,5.89145,4.76045,2.30803,6.02261,5.12411,2.30803
2.11,5.91566,4.76954,2.30626,6.0569,5.125,2.30626
2.12,5.93982,4.77846,2.30448,6.09082,5.12535,2.30448
2.13,5.96393,4.7872,2.30269,6.12436,5.12516,2.30269
2.14,5.98798,4.79578,2.3009,6.15752,5.12445,2.3009
2.15,6.01198,4.80418,2.2991,6.19028,5.12323,2.2991
2.16,6.03593,4.8124,2.29729,6.22265,5.12153,2.29729
2.17,6.05982,4.82046,2.29548,6.25461,5.11935,2.29548
2.18,6.08366,4.82834,2.29366,6.28617,5.11671,2.29366
2.19,6.10744,4.83604,2.29183,6.31731,5.11362,2.29183
2.2,6.13117,4.84358,2.28999,6.34803,5.11012,2.28999
2.21,6.15484,4.85093,2.28815,6.37833,5.1062,2.28815
2.22,6.17846,4.85812,2.2863,6.40819,5.1019,2.2863
2.23,6.20202,4.86513,2.28444,6.43763,5.09722,2.28444
2.24,6.22552,4.87196,2.28258,6.46662,5.09218,2.28258
2.25,6.24897,4.87862,2.28071,6.49518,5.0868,2.28071
2.26,6.27237,4.8851,2.27883,6.52328,5.08111,2.27883
2.27,6.2957,4.89141,2.27694,6.55095,5.0751,2.27694
2.28,6.31898,4.89754,2.27505,6.57816,5.06882,2.27505
2.29,6.34221,4.90349,2.27315,6.60491,5.06226,2.27315
2.3,6.36537,4.90927,2.27125,6.63122,5.05545,2.27125
2.31,6.38848,4.91487,2.26933,6.65707,5.04841,2.26933
2.32,6.41153,4.92029,2.26741,6.68246,5.04116,2.26741
2.33,6.43453,4.92554,2.26549,6.7074,5.0337,2.26549
2.34,6.45746,4.93061,2.26355,6.73188,5.02607,2.26355
2.35,6.48034,4.9355,2.26161,6.75591,5.01828,2.26161
2.36,6.50316,4.94021,2.25966,6.77949,5.01034,2.25966
2.37,6.52592,4.94475,2.25771,6.80261,5.00228,2.25771
2.38,6.54862,4.94911,2.25575,6.82528,4.9941,2.25575
2.39,6.57126,4.95329,2.25378,6.84751,4.98584,2.25378
2.4,6.59385,4.95729,2.25181,6.86929,4.9775,2.25181
2.41,6.61637,4.96112,2.24982,6.89064,4.9691,2.24982
2.42,6.63884,4.96476,2.24784,6.91154,4.96066,2.24784
2.43,6.66124,4.96823,2.24584,6.93202,4.95219,2.24584
2.44,6.68359,4.97151,2.24384,6.95207,4.94371,2.24384
2.45,6.70587,4.97462,2.24183,6.97169,4.93523,2.24183
2.46,6.7281,4.97755,2.23982,6.99091,4.92678,2.23982
2.47,6.75026,4.9803,2.23779,7.00971,4.91836,2.23779
2.48,6.77236,4.98287,2.23577,7.02811,4.90999,2.23577
2.49,6.79441,4.98526,2.23373,7.04611,4.90169,2.23373
2.5,6.81639,4.98747,2.23169,7.06373,4.89346,2.23169
2.51,6.83831,4.98951,2.22964,7.08096,4.88532,2.22964
2.52,6.86017,4.99136,2.22759,7.09782,4.87729,2.22759
2.53,6.88196,4.99303,2.22552,7.11432,4.86937,2.22552
2.54,6.9037,4.99453,2.22346,7.13046,4.86158,2.22346
2.55,6.92537,4.99584,2.22138,7.14626,4.85393,2.22138
2.56,6.94698,4.99697,2.2193,7.16171,4.84643,2.2193
2.57,6.96853,4.99793,2.21721,7.17684,4.83908,2.21721
2.58,6.99001,4.9987,2.21512,7.19165,4.83191,2.21512
2.59,7.01144,4.99929,2.21302,7.20615,4.82491,2.21302
2.6,7.03279,4.99971,2.21091,7.22036,4.81811,2.21091
2.61,7.05409,4.99994,2.2088,7.23427,4.8115,2.2088
2.62,7.07532,5,2.20668,7.24791,4.80509,2.20668
2.63,7.09649,4.99987,2.20456,7.26129,4.79889,2.20456
2.64,7.1176,4.99956,2.20242,7.27441,4.79291,2.20242
2.65,7.13864,4.99908,2.20028,7.28729,4.78716,2.20028
2.66,7.15961,4.99841,2.19814,7.29995,4.78163,2.19814
2.67,7.18052,4.99757,2.19599,7.31238,4.77634,2.19599
2.68,7.20137,4.99654,2.19383,7.32461,4.77128,2.19383
2.69,7.22215,4.99533,2.19167,7.33664,4.76646,2.19167
2.7,7.24287,4.99395,2.1895,7.34849,4.76189,2.1895
2.71,7.26352,4.99238,2.18732,7.36018,4.75757,2.18732
2.72,7.28411,4.99064,2.18514,7.37171,4.7535,2.18514
2.73,7.30463,4.98871,2.18295,7.3831,4.74967,2.18295
2.74,7.32509,4.98661,2.18076,7.39435,4.7461,2.18076
2.75,7.34548,4.98433,2.17856,7.4055,4.74278,2.17856
2.76,7.3658,4.98186,2.17635,7.41654,4.73971,2.17635
2.77,7.38606,4.97922,2.17414,7.42749,4.73689,2.17414
2.78,7.40625,4.9764,2.17192,7.43837,4.73432,2.17192
2.79,7.42637,4.9734,2.16969,7.44918,4.732,2.16969
2.8,7.44643,4.97022,2.16746,7.45994,4.72992,2.16746
2.81,7.46642,4.96686,2.16523,7.47067,4.72808,2.16523
2.82,7.48634,4.96332,2.16298,7.48138,4.72648,2.16298
2.83,7.5062,4.9596,2.16073,7.49208,4.72511,2.16073
2.84,7.52599,4.95571,2.15848,7.50279,4.72397,2.15848
2.85,7.54571,4.95163,2.15622,7.51351,4.72306,2.15622
2.86,7.56536,4.94738,2.15395,7.52427,4.72236,2.15395
2.87,7.58495,4.94295,2.15168,7.53507,4.72187,2.15168
2.88,7.60446,4.93834,2.1494,7.54592,4.72158,2.1494
2.89,7.62391,4.93356,2.14712,7.55685,4.7215,2.14712
2.9,7.64329,4.9286,2.14483,7.56787,4.72159,2.14483
2.91,7.6626,4.92346,2.14253,7.57898,4.72187,2.14253
2.92,7.68184,4.91814,2.14023,7.59019,4.72232,2.14023
2.93,7.70101,4.91264,2.13792,7.60153,4.72293,2.13792
2.94,7.72012,4.90697,2.13561,7.613,4.72369,2.13561
2.95,7.73915,4.90112,2.13329,7.62462,4.72458,2.13329
2.96,7.75811,4.8951,2.13096,7.63638,4.72561,2.13096
2.97,7.77701,4.8889,2.12863,7.64832,4.72675,2.12863
2.98,7.79583,4.88252,2.1263,7.66042,4.728,2.1263
2.99,7.81459,4.87597,2.12396,7.67272,4.72935,2.12396
3,7.83327,4.86924,2.12161,7.6852,4.73077,2.12161
3.01,7.85188,4.86233,2.11926,7.69789,4.73226,2.11926
3.02,7.87042,4.85526,2.1169,7.71078,4.73381,2.1169
3.03,7.8889,4.848,2.11453,7.7239,4.7354,2.11453
3.04,7.9073,4.84057,2.11217,7.73724,4.73702,2.11217
3.05,7.92563,4.83297,2.10979,7.75081,4.73865,2.10979
3.06,7.94388,4.8252,2.10741,7.76461,4.74028,2.10741
3.07,7.96207,4.81725,2.10502,7.77866,4.7419,2.10502
3.08,7.98019,4.80912,2.10263,7.79295,4.74349,2.10263
3.09,7.99823,4.80083,2.10024,7.80749,4.74503,2.10024
3.1,8.0162,4.79236,2.09783,7.82229,4.74651,2.09783
3.11,8.0341,4.78371,2.09543,7.83734,4.74792,2.09543
3.12,8.05192,4.7749,2.09301,7.85266,4.74924,2.09301
3.13,8.06968,4.76591,2.0906,7.86823,4.75046,2.0906
3.14,8.08736,4.75676,2.08817,7.88407,4.75155,2.08817
3.15,8.10497,4.74743,2.08574,7.90016,4.7525,2.08574
3.16,8.12251,4.73793,2.08331,7.91653,4.7533,2.08331
3.17,8.13997,4.72826,2.08087,7.93315,4.75393,2.08087
3.18,8.15736,4.71842,2.07842,7.95004,4.75437,2.07842
3.19,8.17467,4.70841,2.07597,7.96719,4.7546,2.07597
3.2,8.19192,4.69823,2.07352,7.98461,4.75462,2.07352
3.21,8.20908,4.68788,2.07106,8.00228,4.7544,2.07106
3.22,8.22618,4.67736,2.06859,8.02022,4.75392,2.06859
3.23,8.2432,4.66667,2.06612,8.03841,4.75318,2.06612
3.24,8.26015,4.65582,2.06365,8.05685,4.75215,2.06365
3.25,8.27702,4.6448,2.06117,8.07555,4.75081,2.06117
3.26,8.29382,4.63361,2.05868,8.0945,4.74916,2.05868
3.27,8.31054,4.62225,2.05619,8.11369,4.74717,2.05619
3.28,8.32719,4.61073,2.0537,8.13313,4.74484,2.0537
3.29,8.34376,4.59904,2.0512,8.15281,4.74214,2.0512
3.3,8.36026,4.58719,2.04869,8.17272,4.73906,2.04869
3.31,8.37668,4.57517,2.04618,8.19287,4.73558,2.04618
3.32,8.39303,4.56299,2.04366,8.21325,4.73171,2.04366
3.33,8.4093,4.55064,2.04114,8.23385,4.72741,2.04114
3.34,8.4255,4.53813,2.03862,8.25467,4.72268,2.03862
3.35,8.44162,4.52545,2.03609,8.2757,4.7175,2.03609
3.36,8.45766,4.51261,2.03355,8.29694,4.71187,2.03355
3.37,8.47363,4.49961,2.03101,8.31839,4.70577,2.03101
3.38,8.48953,4.48645,2.02847,8.34002,4.6992,2.02847
3.39,8.50534,4.47313,2.02592,8.36185,4.69214,2.02592
3.4,8.52108,4.45964,2.02337,8.38386,4.68458,2.02337
3.41,8.53674,4.446,2.02081,8.40604,4.67652,2.02081
3.42,8.55233,4.43219,2.01824,8.42838,4.66795,2.01824
3.43,8.56784,4.41823,2.01568,8.45088,4.65886,2.01568
3.44,8.58327,4.4041,2.0131,8.47353,4.64924,2.0131
3.45,8.59862,4.38982,2.01053,8.49632,4.6391,2.01053
3.46,8.6139,4.37538,2.00794,8.51924,4.62841,2.00794
3.47,8.6291,4.36078,2.00536,8.54228,4.61719,2.00536
3.48,8.64422,4.34603,2.00277,8.56543,4.60541,2.00277
3.49,8.65927,4.33111,2.00017,8.58868,4.59309,2.00017
3.5,8.67423,4.31605,1.99757,8.61201,4.58022,1.99757
3.51,8.68912,4.30082,1.99497,8.63542,4.5668,1.99497
3.52,8.70393,4.28545,1.99236,8.65889,4.55282,1.99236
3.53,8.71866,4.26991,1.98974,8.68242,4.53829,1.98974
3.54,8.73331,4.25423,1.98713,8.70599,4.52319,1.98713
3.55,8.74789,4.23839,1.9845,8.72958,4.50755,1.9845
3.56,8.76239,4.2224,1.98188,8.75318,4.49134,1.98188
3.57,8.7768,4.20625,1.97925,8.77679,4.47459,1.97925
3.58,8.79114,4.18996,1.97661,8.80039,4.45728,1.97661
3.59,8.8054,4.17351,1.97397,8.82395,4.43942,1.97397
3.6,8.81958,4.15692,1.97133,8.84748,4.42101,1.97133
3.61,8.83368,4.14017,1.96868,8.87095,4.40207,1.96868
3.62,8.8477,4.12328,1.96603,8.89436,4.38258,1.96603
3.63,8.86164,4.10623,1.96337,8.91768,4.36255,1.96337
3.64,8.8755,4.08904,1.96071,8.9409,4.342,1.96071
3.65,8.88928,4.0717,1.95805,8.96401,4.32092,1.95805
3.66,8.90298,4.05422,1.95538,8.987,4.29932,1.95538
3.67,8.91661,4.03659,1.9527,9.00984,4.27721,1.9527
3.68,8.93015,4.01881,1.95003,9.03253,4.2546,1.95003
3.69,8.94361,4.00089,1.94735,9.05505,4.23149,1.94735
3.7,8.95699,3.98283,1.94466,9.07739,4.20789,1.94466
3.71,8.97029,3.96462,1.94197,9.09953,4.18381,1.94197
3.72,8.98351,3.94627,1.93928,9.12146,4.15926,1.93928
3.73,8.99664,3.92778,1.93658,9.14317,4.13424,1.93658
3.74,9.0097,3.90914,1.93388,9.16463,4.10878,1.93388
3.75,9.02268,3.89037,1.93118,9.18585,4.08288,1.93118
3.76,9.03557,3.87145,1.92847,9.2068,4.05655,1.92847
3.77,9.04838,3.8524,1.92576,9.22747,4.0298,1.92576
3.78,9.06112,3.8332,1.92304,9.24786,4.00265,1.92304
3.79,9.07377,3.81387,1.92032,9.26794,3.9751,1.92032
3.8,9.08633,3.7944,1.91759,9.28771,3.94718,1.91759
3.81,9.09882,3.7748,1.91487,9.30715,3.91889,1.91487
3.82,9.11123,3.75506,1.91214,9.32626,3.89024,1.91214
3.83,9.12355,3.73518,1.9094,9.34503,3.86126,1.9094
3.84,9.13579,3.71517,1.90666,9.36344,3.83196,1.90666
3.85,9.14795,3.69503,1.90392,9.38149,3.80234,1.90392
3.86,9.16003,3.67475,1.90117,9.39916,3.77243,1.90117
3.87,9.17202,3.65434,1.89842,9.41645,3.74224,1.89842
3.88,9.18393,3.6338,1.89567,9.43335,3.71179,1.89567
3.89,9.19576,3.61313,1.89291,9.44985,3.68109,1.89291
3.9,9.20751,3.59232,1.89015,9.46595,3.65015,1.89015
3.91,9.21917,3.57139,1.88739,9.48164,3.619,1.88739
3.92,9.23075,3.55033,1.88462,9.49692,3.58765,1.88462
3.93,9.24225,3.52914,1.88185,9.51177,3.55611,1.88185
3.94,9.25366,3.50783,1.87907,9.5262,3.5244,1.87907
3.95,9.26499,3.48639,1.8763,9.5402,3.49255,1.8763
3.96,9.27624,3.46482,1.87352,9.55376,3.46055,1.87352
3.97,9.2874,3.44313,1.87073,9.56689,3.42843,1.87073
3.98,9.29848,3.42132,1.86794,9.57958,3.39621,1.86794
3.99,9.30948,3.39938,1.86515,9.59183,3.36391,1.86515
4,9.32039,3.37732,1.86236,9.60363,3.33153,1.86236
4.01,9.33122,3.35513,1.85956,9.615,3.29909,1.85956
4.02,9.34196,3.33283,1.85676,9.62592,3.26661,1.85676
4.03,9.35263,3.31041,1.85395,9.63639,3.23411,1.85395
4.04,9.3632,3.28786,1.85115,9.64643,3.2016,1.85115
4.05,9.37369,3.2652,1.84834,9.65602,3.16909,1.84834
4.06,9.3841,3.24243,1.84552,9.66517,3.1366,1.84552
4.07,9.39443,3.21953,1.84271,9.67388,3.10414,1.84271
