layers,neurons,params,rmse_meas,rmse_hidden,train_time_s
4,20,1792,0.1156,0.1933,1342
4,60,12552,0.0918,0.0931,1735
4,100,32912,0.0592,0.0646,2174
4,128,52876,0.0411,0.0457,2454
9,20,3892,0.1453,0.2410,2283
9,60,30852,0.1562,0.1743,3077
9,100,83412,0.0719,0.0900,4615
9,128,135436,0.0728,0.0819,5099
12,20,5152,0.1737,0.3083,3117
12,60,41832,5.9397,1.9457,4275
12,100,113712,0.1707,0.2801,6090
12,128,184972,4.8164,1.9449,6674
