case,w0,w_ode,wy,params,rmse_meas,rmse_hidden,train_time_s
1,1.0,1.0,1.0,83412,0.0163,0.0155,10359
2,0.5,1.5,1.0,83412,0.0254,0.0216,8740
3,0.5,0.5,1.0,83412,0.0453,0.0320,8776
4,1.0,2.0,1.0,83412,0.0390,0.0251,6647
5,2.0,1.0,1.0,83412,0.0256,0.0196,4909
6,2.0,1.0,0.5,83412,0.0263,0.0196,4787
7,2.0,1.5,1.5,83412,0.0307,0.0215,6668
