case,w0,w_ode,wy,MSE_0,MSE_g,MSE_y,test_meas_RMSE,test_hidden_RMSE
1,1.0,1.0,1.0,5.468e-04,3.770e-02,4.687e-03,0.0595,0.0647
2,0.5,1.5,1.0,6.410e-04,3.682e-02,2.464e-03,0.0453,0.0557
3,0.5,0.5,1.0,9.655e-04,4.390e-02,1.584e-03,0.0493,0.0586
4,1.0,2.0,1.0,7.027e-04,2.999e-02,7.504e-03,0.0521,0.0535
5,2.0,1.0,1.0,3.479e-04,3.330e-02,1.491e-03,0.0693,0.0637
6,2.0,1.0,0.5,3.473e-04,3.895e-02,5.608e-03,0.0696,0.0674
7,2.0,1.5,1.5,8.817e-04,3.218e-02,3.018e-03,0.0458,0.0580
