state,unit,type,rmse
x,m,measured,0.0375
y,m,measured,0.0456
z,m,measured,0.0137
vx,m/s,hidden,0.0525
vy,m/s,hidden,0.0433
vz,m/s,hidden,0.0195
phi,rad,measured,0.0097
theta,rad,measured,0.0173
psi,rad,measured,0.0050
p,rad/s,hidden,0.0247
q,rad/s,hidden,0.0710
r,rad/s,hidden,0.0047
avg_measured,,,0.0215
avg_hidden,,,0.0360
