parameter,metric,-20%,-10%,nominal,+10%,+20%
mass,measured RMSE,1.0762,0.5137,0.0286,0.4486,0.8493
mass,hidden RMSE,1.2747,0.5735,0.0306,0.4416,0.7783
inertia,measured RMSE,0.3404,0.1946,0.0286,0.3334,1.2356
inertia,hidden RMSE,0.3582,0.2095,0.0306,0.3692,1.3349
arm,measured RMSE,1.4343,0.4080,0.0286,0.1796,0.2952
arm,hidden RMSE,1.5571,0.4454,0.0306,0.1936,0.3132
combined worst,measured RMSE,,,0.0286,,3.0034
combined worst,hidden RMSE,,,0.0306,,3.2302
